"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","808","should add two expenses and check sum","API","2025-12-25","passed","2025-12-25","Expenses adding and check sum","","",""
"","7468","Add/edit/delete income","E2E","2025-12-25","passed","2025-12-25","Income test","","",""
"","156","should delete report","API","2025-12-25","passed","2025-12-25","API CRUD Tests > Reports","","",""
"","648","delete first income and check deleting","API","2025-12-25","passed","2025-12-25","Incomes adding and sum check","","",""
"","157","should save report","API","2025-12-25","passed","2025-12-25","API CRUD Tests > Reports","","",""
"","813","should add two incomes and check sum","API","2025-12-25","passed","2025-12-25","Incomes adding and sum check","","",""
"","654","delete first expense and check deleting","API","2025-12-25","passed","2025-12-25","Expenses adding and check sum","","",""
"","157","should get pending reports","API","2025-12-25","passed","2025-12-25","API CRUD Tests > Reports","","",""
"","1131","should add, update and delete an income","API","2025-12-25","passed","2025-12-25","API CRUD Tests > Incomes","","",""
"","6841","Add/edit/delete expense","E2E","2025-12-25","passed","2025-12-25","Expense test","","",""
"","1009","should add, update and delete an expense","API","2025-12-25","passed","2025-12-25","API CRUD Tests > Expenses","","",""
